Weight,Xcg,time
64194.93090192635,7.150252084522713,1055.6
64194.73257543498,7.150251651042081,1055.7
64194.53427728975,7.150251217620726,1055.8
64194.33598289588,7.1502507842048955,1055.9
64194.13768030921,7.150250350768479,1056.0
64193.93936614061,7.150249917304068,1056.1
64193.741037638996,7.15024948380565,1056.2
64193.542688114685,7.150249050258603,1056.3
64193.34430838459,7.1502486166428545,1056.4
64193.145891167325,7.150248182942486,1056.5
64192.94743401068,7.150247749152135,1056.6
64192.74893958225,7.150247315277632,1056.7
64192.550414961464,7.150246881334451,1056.8
64192.351870759056,7.150246447345782,1056.9
64192.153319150086,7.150246013338239,1057.0
64191.95477058197,7.1502455793346575,1057.1
64191.75623086989,7.150245145347751,1057.2
64191.55770077274,7.150244711379177,1057.3
64191.35917852873,7.150244277425084,1057.4
64191.1606636501,7.150243843484408,1057.5
64190.96215890964,7.15024340956321,1057.6
64190.76366829543,7.150242975670207,1057.7
64190.56519194784,7.1502425418057065,1057.8
64190.36672198398,7.1502421079524785,1057.9
64190.16824285243,7.150241674076528,1058.0
64189.96973650809,7.1502412401384055,1058.1
64189.771188684965,7.1502408061069245,1058.2
64189.57259185453,7.150240371965628,1058.3
64189.373944608626,7.150239937711431,1058.4
64189.1752511614,7.150239503353549,1058.5
64188.97652285255,7.150239068916766,1058.6
64188.77777887596,7.150238634443041,1058.7
64188.579042789075,7.150238199983875,1058.8
64188.38033518682,7.150237765584289,1058.9
64188.181666460136,7.150237331267,1059.0
64187.983033727614,7.150236897025713,1059.1
64187.78442346977,7.150236462830872,1059.2
64187.585818171756,7.150236028644186,1059.3
64187.38720323503,7.150235594433742,1059.4
64187.18857091237,7.150235160182601,1059.5
64186.98992091281,7.150234725890127,1059.6
64186.79125957612,7.15023429157018,1059.7
64186.59259874729,7.150233857248652,1059.8
64186.39395375947,7.15023342295907,1059.9
64186.19533975251,7.150232988734533,1060.0
64185.99676645824,7.150232554596319,1060.1
64185.79823300175,7.150232120542515,1060.2
64185.59972539281,7.150231686542537,1060.3
64185.40121878367,7.150231252542062,1060.4
64185.202684573414,7.150230818478556,1060.5
64185.004100142985,7.1502303843025645,1060.6
64184.8054571503,7.150229949995848,1060.7
64184.60676419005,7.150229515577194,1060.8
64184.40804209842,7.150229081092158,1060.9
64184.20931425549,7.150228646591858,1061.0
64184.01059735772,7.150228212112797,1061.1
64183.811897668405,7.150227777668671,1061.2
64183.61321371586,7.1502273432562635,1061.3
64183.41454222258,7.150226908868406,1061.4
64183.21588256554,7.150226474503742,1061.5
64183.01723627779,7.15022604016562,1061.6
64182.818601881314,7.15022560585081,1061.7
64182.61997020509,7.150225171539259,1061.8
64182.42132626484,7.150224737198204,1061.9
64182.222658100305,7.150224302801495,1062.0
64182.02396578813,7.150223868349294,1062.1
64181.825263031074,7.150223433871564,1062.2
64181.626570027875,7.150222999412473,1062.3
64181.42790286129,7.150222565007186,1062.4
64181.229266110764,7.150222130665718,1062.5
64181.03065245865,7.150221696372069,1062.6
64180.83204856978,7.150221262097081,1062.7
64180.63344288842,7.1502208278154855,1062.8
64180.43483031266,7.150220393516127,1062.9
64180.236211516065,7.150219959200477,1063.0
64180.037588880135,7.150219524873744,1063.1
64179.83896336353,7.150219090538023,1063.2
64179.64033483388,7.150218656193025,1063.3
64179.44170376587,7.150218221839788,1063.4
64179.24307021573,7.150217787478434,1063.5
64179.044429580186,7.150217353098897,1063.6
64178.84576956762,7.150216918674299,1063.7
64178.64707306419,7.150216484167213,1063.8
64178.44832664492,7.15021604954828,1063.9
64178.24952943327,7.150215614815582,1064.0
64178.050696673396,7.150215180002451,1064.1
64177.851855849105,7.1502147451689915,1064.2
64177.653036530406,7.150214310379868,1064.3
64177.4542574591,7.150213875676063,1064.4
64177.255516849174,7.15021344105368,1064.5
64177.05679252983,7.150213006464229,1064.6
64176.858053828226,7.150212571840634,1064.7
64176.6592787081,7.1502121371347025,1064.8
64176.460465038406,7.150211702341774,1064.9
64176.26162879167,7.150211267496774,1065.0
64176.06279137566,7.150210832646524,1065.1
64175.8639657177,7.150210397819293,1065.2
64175.665150776855,7.150209963012806,1065.3
64175.46633724254,7.150209528206703,1065.4
64175.267518727145,7.15020909338701,1065.5
64175.068699183474,7.150208658562374,1065.6
64174.86989108543,7.150208223760076,1065.7
64174.67110688934,7.15020778900736,1065.8
64174.472351535434,7.1502073543150315,1065.9
64174.27362142504,7.1502069196752185,1066.0
64174.074908605966,7.150206485070534,1066.1
64173.876205286026,7.150206050483931,1066.2
64173.67750573939,7.15020561590289,1066.3
64173.4788063207,7.150205181319439,1066.4
64173.28010561516,7.1502047467304815,1066.5
64173.08140538202,7.150204312139866,1066.6
64172.88271115332,7.150203877559692,1066.7
64172.68403106658,7.150203443007758,1066.8
64172.48537261728,7.15020300850046,1066.9
64172.286738782816,7.150202574044309,1067.0
64172.088126274204,7.150202139632114,1067.1
64171.88952740653,7.150201705247065,1067.2
64171.690933669604,7.15020127087055,1067.3
64171.492337438176,7.15020083648589,1067.4
64171.29373066624,7.150200402075487,1067.5
64171.09510309909,7.150199967616911,1067.6
64170.89644308756,7.150199533084676,1067.7
64170.69774103178,7.1501990984577874,1067.8
64170.49899245192,7.1501986637264405,1067.9
64170.300198239376,7.150198228892587,1068.0
64170.10136322439,7.15019779396679,1068.1
64169.90249595326,7.15019735896774,1068.2
64169.70360999868,7.150196923925126,1068.3
64169.50472405605,7.150196488879841,1068.4
64169.30585880533,7.150196053877121,1068.5
64169.10703179223,7.150195618955348,1068.6
64168.9082531339,7.150195184136655,1068.7
64168.70952350986,7.1501947494225275,1068.8
64168.51083442089,7.150194314794378,1068.9
64168.312170764584,7.15019388021917,1069.0
64168.11351565683,7.150193445659972,1069.1
64167.91485582936,7.150193011087758,1069.2
64167.71618469865,7.150192576488128,1069.3
64167.51750155636,7.150192141859529,1069.4
64167.318808196214,7.150191707205889,1069.5
64167.1201056926,7.150191272529552,1069.6
64166.92139307963,7.150190837828411,1069.7
64166.72266776713,7.150190403096795,1069.8
64166.52392639707,7.150189968327357,1069.9
64166.325165628674,7.1501895335127905,1070.0
64166.12638369032,7.150189098649217,1070.1
64165.92758255576,7.1501886637409555,1070.2
64165.728768612935,7.150188228801979,1070.3
64165.529950324104,7.150187793850798,1070.4
64165.3311340403,7.1501873589013085,1070.5
64165.13232077654,7.150186923955731,1070.6
64164.93350610056,7.150186489004368,1070.7
64164.734682938506,7.150186054031745,1070.8
64164.53584502029,7.150185619024143,1070.9
64164.336989019146,7.150185183974284,1071.0
64164.13811550731,7.150184748883419,1071.1
64163.93922994991,7.1501843137635035,1071.2
64163.74034403933,7.150183878640116,1071.3
64163.54147605438,7.150183443553252,1071.4
64163.342648283615,7.1501830085516715,1071.5
64163.143880476535,7.150182573678587,1071.6
64162.94518096355,7.150182138952227,1071.7
64162.74654035566,7.15018170435205,1071.8
64162.54793313924,7.15018126982224,1071.9
64162.3493278536,7.150180835293965,1072.0
64162.1507000153,7.150180400713655,1072.1
64161.952039682845,7.150179966059561,1072.2
64161.75334980371,7.150179531338127,1072.3
64161.55463816038,7.150179096566384,1072.4
64161.355909339945,7.150178661754362,1072.5
64161.157161942894,7.150178226899004,1072.6
64160.95839209752,7.150177791991833,1072.7
64160.75959974342,7.150177357032718,1072.8
64160.5607918683,7.150176922036947,1072.9
64160.361979249836,7.150176487028103,1073.0
64160.16316897771,7.150176052021696,1073.1
64159.96435914897,7.150175617013565,1073.2
64159.76554069349,7.150175181983859,1073.3
64159.5667054544,7.150174746914734,1073.4
64159.36785446752,7.150174311808455,1073.5
64159.16900019507,7.15017387669229,1073.6
64158.97016101724,7.150173441606456,1073.7
64158.77135152174,7.150173006582876,1073.8
64158.57257471889,7.1501725716281355,1073.9
64158.37382116479,7.150172136721572,1074.0
64158.175075427156,7.150171701829419,1074.1
64157.97632508066,7.1501712669244855,1074.2
64157.77756598052,7.150170831997704,1074.3
64157.57880099778,7.150170397055353,1074.4
64157.380033974616,7.150169962105844,1074.5
64157.18126345421,7.1501695271459855,1074.6
64156.98248093747,7.1501690921571806,1074.7
64156.783675392435,7.15016865711529,1074.8
64156.58484094658,7.150168222007457,1074.9
64156.38598178069,7.150167786842833,1075.0
64156.18710971642,7.150167351647286,1075.1
64155.98823549734,7.1501669164443244,1075.2
64155.78936034803,7.150166481236629,1075.3
64155.590474584715,7.150166046003009,1075.4
64155.3915643009,7.15016561071303,1075.5
64155.19262090371,7.150165175347887,1075.6
64154.99364676199,7.1501647399127615,1075.7
64154.794654270576,7.150164304434778,1075.8
64154.595661179555,7.150163868952782,1075.9
64154.39668646677,7.150163433508304,1076.0
64154.1977477743,7.150162998139953,1076.1
64153.998858567276,7.1501625628772,1076.2
64153.80002408397,7.150162127731511,1076.3
64153.601237825445,7.150161692688665,1076.4
64153.4024812998,7.150161257708191,1076.5
64153.203728161905,7.15016082273244,1076.6
64153.004951555165,7.15016038770263,1076.7
64152.806132165024,7.150159952576488,1076.8
64152.60726437216,7.150159517341717,1076.9
64152.40835819499,7.150159082020242,1077.0
64152.20943560295,7.150158646660142,1077.1
64152.010521968965,7.150158211316947,1077.2
64151.81163614629,7.15015777603192,1077.3
64151.6127836681,7.150157340817173,1077.4
64151.41395582736,7.150156905653652,1077.5
64151.21513417867,7.150156470500985,1077.6
